GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ThreeTen-Extra,org.threeten.extra,PeriodDuration,76,576,15,63,11,112,12,56,1,26
ThreeTen-Extra,org.threeten.extra,YearQuarter,220,789,41,105,28,151,43,86,5,44
ThreeTen-Extra,org.threeten.extra,PackedFields.PackedTime,0,185,0,4,0,38,0,15,0,13
ThreeTen-Extra,org.threeten.extra,Interval,0,698,2,104,0,118,2,82,0,31
ThreeTen-Extra,org.threeten.extra,Minutes,119,274,10,40,22,72,9,42,3,23
ThreeTen-Extra,org.threeten.extra,MutableClock.SerializationProxy,10,23,2,2,2,7,2,2,0,2
ThreeTen-Extra,org.threeten.extra,DayOfYear,30,224,8,24,6,47,9,29,2,20
ThreeTen-Extra,org.threeten.extra,Hours,63,297,3,41,9,76,6,42,3,23
ThreeTen-Extra,org.threeten.extra,Temporals,18,363,3,53,3,73,3,42,0,9
ThreeTen-Extra,org.threeten.extra,PeriodDuration.new Object() {...},5,35,0,0,0,1,0,1,0,1
ThreeTen-Extra,org.threeten.extra,PackedFields.PackedHourMin,0,139,0,4,0,31,0,15,0,13
ThreeTen-Extra,org.threeten.extra,MutableClock.InstantHolder,0,13,0,0,0,6,0,3,0,3
ThreeTen-Extra,org.threeten.extra,DayOfMonth,30,230,9,23,6,47,10,29,2,21
ThreeTen-Extra,org.threeten.extra,YearWeek,14,615,4,88,3,127,4,78,0,36
ThreeTen-Extra,org.threeten.extra,AmPm,33,173,7,20,5,32,7,20,1,12
ThreeTen-Extra,org.threeten.extra,MutableClock,9,236,2,8,3,52,3,18,1,15
ThreeTen-Extra,org.threeten.extra,YearQuarter.new Object() {...},8,57,0,0,0,2,0,1,0,1
ThreeTen-Extra,org.threeten.extra,Seconds,128,303,10,46,24,80,9,46,3,24
ThreeTen-Extra,org.threeten.extra,Months,77,298,7,41,13,77,8,42,3,23
ThreeTen-Extra,org.threeten.extra,Days,61,314,5,43,12,78,6,44,3,23
ThreeTen-Extra,org.threeten.extra,Temporals.new Object() {...},19,123,0,0,0,2,0,1,0,1
ThreeTen-Extra,org.threeten.extra,LocalDateRange.new Iterator() {...},0,29,0,0,0,6,0,3,0,3
ThreeTen-Extra,org.threeten.extra,Temporals.Adjuster.new Temporals.Adjuster() {...},0,27,0,3,0,6,0,4,0,2
ThreeTen-Extra,org.threeten.extra,Quarter.new Object() {...},4,29,0,0,0,1,0,1,0,1
ThreeTen-Extra,org.threeten.extra,Temporals.Adjuster.new Temporals.Adjuster() {...},0,27,0,3,0,6,0,4,0,2
ThreeTen-Extra,org.threeten.extra,LocalDateRange,0,677,1,101,0,108,1,82,0,32
